Date,Price,Open,High,Low,Vol.,Change
2021-07-13,1940.72,2035.09,2042.61,1920.62,717.85,-0.05
2021-07-14,1994.64,1940.48,2017.99,1868.45,1.05,0.03
2021-07-15,1917.21,1994.73,2038.91,1884.81,645.06,-0.04
2021-07-16,1878.2,1917.21,1960.21,1852.42,619.62,-0.02
2021-07-17,1897.98,1877,1917.8,1851.97,623.52,0.01
2021-07-18,1892.42,1898.01,1988.24,1881.6,829.77,0
2021-07-19,1818.07,1891.43,1915.15,1807.19,802.78,-0.04
2021-07-20,1786.07,1818.07,1840.36,1720.7,1.2,-0.02
2021-07-21,1994.49,1786.18,2029.51,1758.64,1.51,0.12
2021-07-22,2024.58,1994.61,2043.26,1952.31,1.02,0.02
2021-07-23,2123.61,2024.51,2129.66,2000.27,961.67,0.05
2021-07-24,2151.85,2124,2162.29,2106.71,907.11,0.01
2021-07-25,2189.79,2166.98,2195.03,2108.74,786.94,0.02
2021-07-26,2229.53,2189.74,2430.01,2174.44,1.89,0.02
2021-07-27,2300.22,2230.24,2318.68,2152.92,1.25,0.03
2021-07-28,2299.11,2300.21,2343.49,2246.23,968.94,0
2021-07-29,2380.93,2299.46,2397.71,2269.15,642.75,0.04
2021-07-30,2460.95,2380.59,2467.4,2320.8,1.03,0.03
2021-07-31,2532.19,2461.08,2551.68,2421.7,507.08,0.03
2021-08-01,2556.23,2530.94,2696.38,2515.26,1.2,0.01
2021-08-02,2608.04,2556.07,2664.73,2513.51,970.67,0.02
2021-08-03,2506.65,2608.01,2631.43,2445.49,158.45,-0.04
2021-08-04,2725.29,2506.5,2766.46,2462.32,1.23,0.09
2021-08-05,2827.21,2725.28,2842.95,2533.51,1.65,0.04
2021-08-06,2889.43,2827.23,2946.62,2726.04,1.06,0.02
2021-08-07,3158,2889.58,3169.74,2867.58,64.84,0.09
2021-08-08,3012.07,3158.3,3188.49,2949.66,1.25,-0.05
2021-08-09,3162.93,3011.88,3184.84,2899.24,1.44,0.05
2021-08-10,3140.71,3162.81,3232.02,3057.84,1.12,-0.01
2021-08-11,3163.66,3140.86,3269.7,3122.67,950.12,0.01
2021-08-12,3043.61,3160.17,3236.28,2981.35,965.63,-0.04
2021-08-13,3322.43,3043.2,3324.53,3035.52,795.54,0.09
2021-08-14,3264.69,3322.25,3328.38,3209.45,658.6,-0.02
2021-08-15,3308.87,3264.56,3318.61,3115.34,782.81,0.01
2021-08-16,3147.65,3307.96,3334.22,3138.37,859.09,-0.05
2021-08-17,3014.58,3147.67,3290.03,2993.63,1.06,-0.04
2021-08-18,3016.91,3012.62,3124.51,2951.04,750.74,0
2021-08-19,3184.82,3016.92,3185.51,2962.04,844.13,0.06
2021-08-20,3284.21,3184.83,3300.36,3179.18,739.32,0.03
2021-08-21,3223.96,3285.12,3307.33,3200.19,768.74,-0.02
2021-08-22,3238.7,3224.17,3271.94,3128.98,747.65,0
2021-08-23,3319.49,3238.41,3375.42,3231.96,1.09,0.02
2021-08-24,3173.26,3322.6,3357.99,3150.75,988.82,-0.04
2021-08-25,3228.15,3172.12,3247.43,3080.7,923.13,0.02
2021-08-26,3093.54,3228.03,3249.62,3057.48,118.44,-0.04
2021-08-27,3273.58,3093.78,3279.93,3063.37,839.54,0.06
2021-08-28,3243.9,3273.78,3284.58,3212.24,466.21,-0.01
2021-08-29,3222.16,3243.96,3282.21,3155.31,643.73,-0.01
2021-08-30,3225.67,3222.43,3345.72,3145.53,966.58,0
2021-08-31,3430.74,3228.23,3467.42,3191.34,1.52,0.06
2021-09-01,3832.73,3429.65,3839.91,3384.82,1.48,0.12
2021-09-02,3786.19,3826.9,3833.89,3723.42,928.7,-0.01
2021-09-03,3936.29,3785.85,4024.89,3715.97,1.2,0.04
2021-09-04,3884.97,3938.45,3968.33,3844.07,672.53,-0.01
2021-09-05,3950.62,3885.4,3981.22,3834.74,714.16,0.02
2021-09-06,3927.21,3950.2,3968.2,3867.55,764.56,-0.01
2021-09-07,3423.12,3926.84,3945.79,3061.3,2.47,-0.13
2021-09-08,3495.1,3424.35,3557.67,3221.6,780.68,0.02
2021-09-09,3423.51,3498.92,3564.3,3395.94,1.09,-0.02
2021-09-10,3207.27,3423.87,3512.9,3156.28,1.21,-0.06
2021-09-11,3267.33,3209.37,3345.37,3202.41,732.95,0.02
2021-09-12,3408.28,3267.33,3469.5,3231.87,805.97,0.04
2021-09-13,3284.52,3408.17,3429.24,3118.66,1.34,-0.04
2021-09-14,3428.87,3284.65,3428.87,3270.91,720.34,0.04
2021-09-15,3611.9,3430.36,3612.29,3361.63,790.27,0.05
2021-09-16,3569.43,3612.23,3672.68,3488.53,195.79,-0.01
2021-09-17,3398.65,3569.92,3592.2,3352.32,748.1,-0.05
